text,sentence,document_id,true_label,pred_label,prob_score,category
Hodnota,[N/A],gold_doc_0155,0,0,0.001209122520086724,TN
cenných,[N/A],gold_doc_0155,0,0,0.00014404033637553892,TN
papírů,[N/A],gold_doc_0155,0,0,0.0005433580960657853,TN
banky,[N/A],gold_doc_0155,0,0,9.947911407604635e-05,TN
poklesla,[N/A],gold_doc_0155,0,0,0.003106598704482969,TN
obchodního,[N/A],gold_doc_0155,0,0,0.004690843826667121,TN
dne,[N/A],gold_doc_0155,0,0,0.00014366830185011162,TN
procenta,[N/A],gold_doc_0155,0,0,0.0012140090774851837,TN
Nemocnost,[N/A],gold_doc_0159,0,0,0.028719296971330556,TN
populaci,[N/A],gold_doc_0159,0,0,0.006810602758893507,TN
dosáhla,[N/A],gold_doc_0159,0,0,0.0009506622361774233,TN
úrovně,[N/A],gold_doc_0159,0,0,0.00968339967722076,TN
případů,[N/A],gold_doc_0159,0,0,0.010078257901647007,TN
sto,[N/A],gold_doc_0159,0,0,0.001619044611813355,TN
obyvatel,[N/A],gold_doc_0159,0,0,3.932446741257885e-05,TN
Investice,[N/A],gold_doc_0165,0,0,0.006354612792987749,TN
hodnotě,[N/A],gold_doc_0165,0,0,6.571705679859749e-05,TN
milionů,[N/A],gold_doc_0165,0,0,0.0014773388051240676,TN
korun,[N/A],gold_doc_0165,0,0,0.00030243418947629454,TN
vytvoří,[N/A],gold_doc_0165,0,0,0.0008964885183496868,TN
nových,[N/A],gold_doc_0165,0,0,0.00014962694897338043,TN
pracovních,[N/A],gold_doc_0165,0,0,7.585430122167928e-05,TN
míst,[N/A],gold_doc_0165,0,0,3.334937247683497e-05,TN
Zóny,[N/A],gold_doc_0166,0,0,0.004301810955649969,TN
omezí,[N/A],gold_doc_0166,0,0,0.000964252735335601,TN
vjezd,[N/A],gold_doc_0166,0,0,0.003989552395434617,TN
starším,[N/A],gold_doc_0166,0,0,0.01629919347741211,TN
vozidlům,[N/A],gold_doc_0166,0,0,0.003674615410059656,TN
emisními,[N/A],gold_doc_0166,0,0,0.0007656538097189613,TN
normami,[N/A],gold_doc_0166,0,0,0.0005031993893695119,TN
Euro,[N/A],gold_doc_0166,0,0,0.002087754204118941,TN
nižšími,[N/A],gold_doc_0166,0,0,0.00030483034496099637,TN
Schválení,[N/A],gold_doc_0168,0,0,0.007638213657663108,TN
týká,[N/A],gold_doc_0168,0,0,0.0005718629223963126,TN
vakcín,[N/A],gold_doc_0168,0,0,0.014320076091384627,TN
chřipce,[N/A],gold_doc_0168,0,0,0.0017493134232059568,TN
také,[N/A],gold_doc_0168,0,0,0.008790712444107686,TN
novému,[N/A],gold_doc_0168,0,0,0.005968399394540328,TN
koronavirovému,[N/A],gold_doc_0168,0,0,0.1931859057982389,TN
kmenu,[N/A],gold_doc_0168,0,0,0.10086613992540393,TN
Hlavní,[N/A],gold_doc_0169,0,0,0.0005941295494070691,TN
úroková,[N/A],gold_doc_0169,0,0,0.0009362768506191234,TN
sazba,[N/A],gold_doc_0169,0,0,0.0006320274400385344,TN
zvýšena,[N/A],gold_doc_0169,0,0,0.013255033614328482,TN
procentního,[N/A],gold_doc_0169,0,0,0.000616195424013035,TN
bodu,[N/A],gold_doc_0169,0,0,0.0028156640661315493,TN
úroveň,[N/A],gold_doc_0169,0,0,0.00036828407333133967,TN
procenta,[N/A],gold_doc_0169,0,0,0.0004584847609758572,TN
nehodě,[N/A],gold_doc_0174,0,0,0.0023221262546363934,TN
došlo,[N/A],gold_doc_0174,0,0,0.0008400822932770859,TN
srážce,[N/A],gold_doc_0174,0,0,0.011436812799465536,TN
osobních,[N/A],gold_doc_0174,0,0,0.0001772596223225844,TN
vozidel,[N/A],gold_doc_0174,0,0,0.0002320674788823269,TN
kamionu,[N/A],gold_doc_0174,0,0,0.008721922859804,TN
nákladní,[N/A],gold_doc_0174,0,0,0.0043053887587865165,TN
dopravy,[N/A],gold_doc_0174,0,0,0.002325030295194163,TN
Škoda,[N/A],gold_doc_0180,0,0,0.000766063076211806,TN
předběžně,[N/A],gold_doc_0180,0,0,0.002550562438021983,TN
vyčíslena,[N/A],gold_doc_0180,0,0,0.0029445096523341642,TN
milionů,[N/A],gold_doc_0180,0,0,0.0034922500123611496,TN
korun,[N/A],gold_doc_0180,0,0,0.0008084451678240177,TN
majetku,[N/A],gold_doc_0180,0,0,0.00027342621920184977,TN
firmy,[N/A],gold_doc_0180,0,0,0.00049482975159341,TN
Studie,[N/A],gold_doc_0192,0,0,0.003137639743445917,TN
testovala,[N/A],gold_doc_0192,0,0,0.020639951514345497,TN
účinnost,[N/A],gold_doc_0192,0,0,0.008442189597556077,TN
kombinované,[N/A],gold_doc_0192,0,0,0.0013647830583996485,TN
terapie,[N/A],gold_doc_0192,0,0,0.0033493342844109755,TN
skupině,[N/A],gold_doc_0192,0,0,0.019999266615524484,TN
pacientů,[N/A],gold_doc_0192,0,0,0.0028466657466260153,TN
První,[N/A],gold_doc_0195,0,0,0.0017271049354520996,TN
etapa,[N/A],gold_doc_0195,0,0,0.0041279360724746335,TN
oprav,[N/A],gold_doc_0195,0,0,0.0005901650617046362,TN
zahrnuje,[N/A],gold_doc_0195,0,0,0.0020607416868399096,TN
fasádu,[N/A],gold_doc_0195,0,0,0.033426157373930315,TN
katedrály,[N/A],gold_doc_0195,0,0,0.015232411511673587,TN
svatého,[N/A],gold_doc_0195,0,0,0.006520682065759735,TN
Pražském,[N/A],gold_doc_0195,0,0,0.0002354602994627083,TN
hradě,[N/A],gold_doc_0195,0,0,0.0005639173545807917,TN
Systém,[N/A],gold_doc_0201,0,0,0.000741445441981859,TN
začne,[N/A],gold_doc_0201,0,0,0.0011824959793250952,TN
fungovat,[N/A],gold_doc_0201,0,0,0.0036203595013082194,TN
pilotním,[N/A],gold_doc_0201,0,0,0.1310729902413342,TN
režimu,[N/A],gold_doc_0201,0,0,0.010382185209932835,TN
průběhu,[N/A],gold_doc_0201,0,0,0.0008609980110853447,TN
prvního,[N/A],gold_doc_0201,0,0,0.0028498210212770055,TN
pololetí,[N/A],gold_doc_0201,0,0,0.0025611960271327717,TN
roku,[N/A],gold_doc_0201,0,0,0.0001690495047250759,TN
Dohoda,[N/A],gold_doc_0205,0,0,0.0007903143274528999,TN
týká,[N/A],gold_doc_0205,0,0,0.0007032409055181126,TN
výstavby,[N/A],gold_doc_0205,0,0,0.007865036553218399,TN
nových,[N/A],gold_doc_0205,0,0,0.0005856340148415347,TN
jaderných,[N/A],gold_doc_0205,0,0,0.00034398553156600984,TN
reaktorů,[N/A],gold_doc_0205,0,0,0.0027636663514557145,TN
sousedních,[N/A],gold_doc_0205,0,0,0.002588459562173906,TN
státech,[N/A],gold_doc_0205,0,0,0.0002376172977019535,TN
Rozdíl,[N/A],gold_doc_0210,0,0,0.018304666893669042,TN
platy,[N/A],gold_doc_0210,0,0,0.00065392271662592,TN
mužů,[N/A],gold_doc_0210,0,0,6.188495611247141e-05,TN
žen,[N/A],gold_doc_0210,0,0,2.5948470861519672e-05,TN
činí,[N/A],gold_doc_0210,0,0,0.00043078445124363363,TN
průměru,[N/A],gold_doc_0210,0,0,0.0024518068466718008,TN
procent,[N/A],gold_doc_0210,0,0,0.000871282393701381,TN
hrubé,[N/A],gold_doc_0210,0,0,0.001667021654018183,TN
mzdy,[N/A],gold_doc_0210,0,0,0.0007436848234919555,TN
Produktivita,[N/A],gold_doc_0215,0,0,0.0032596091405217697,TN
práce,[N/A],gold_doc_0215,0,0,0.0001946965682604632,TN
odvětvích,[N/A],gold_doc_0215,0,0,0.00010276434016746435,TN
klesla,[N/A],gold_doc_0215,0,0,0.001580152561728174,TN
procenta,[N/A],gold_doc_0215,0,0,0.002025577176333091,TN
Administrativní,[N/A],gold_doc_0216,0,0,0.009166471904852331,TN
