document_id,sentence_id,form,pos,sentence_context,true_label,pred_label,category
gold_doc_0003,gold_doc_0003_target,Tempo,NOUN,Tempo výstavby nových bytů žalostné,0,1,FP
gold_doc_0003,gold_doc_0003_target,výstavby,NOUN,Tempo výstavby nových bytů žalostné,0,1,FP
gold_doc_0003,gold_doc_0003_target,nových,ADJ,Tempo výstavby nových bytů žalostné,0,1,FP
gold_doc_0003,gold_doc_0003_target,bytů,NOUN,Tempo výstavby nových bytů žalostné,0,1,FP
gold_doc_0003,gold_doc_0003_target,žalostné,ADJ,Tempo výstavby nových bytů žalostné,1,1,TP
gold_doc_0007,gold_doc_0007_target,Produktivita,NOUN,Produktivita práce odvětvích mizerná,0,1,FP
gold_doc_0007,gold_doc_0007_target,práce,NOUN,Produktivita práce odvětvích mizerná,0,1,FP
gold_doc_0007,gold_doc_0007_target,odvětvích,NOUN,Produktivita práce odvětvích mizerná,0,1,FP
gold_doc_0007,gold_doc_0007_target,mizerná,ADJ,Produktivita práce odvětvích mizerná,1,1,TP
gold_doc_0010,gold_doc_0010_target,Úroveň,NOUN,Úroveň čistoty vozidlech otřesná,0,1,FP
gold_doc_0010,gold_doc_0010_target,čistoty,NOUN,Úroveň čistoty vozidlech otřesná,0,1,FP
gold_doc_0010,gold_doc_0010_target,vozidlech,NOUN,Úroveň čistoty vozidlech otřesná,0,1,FP
gold_doc_0010,gold_doc_0010_target,otřesná,ADJ,Úroveň čistoty vozidlech otřesná,1,1,TP
gold_doc_0011,gold_doc_0011_target,Naprosté,ADJ,Naprosté selhání dozorových orgánů vedlo opožděné reakci růst cen,1,1,TP
gold_doc_0011,gold_doc_0011_target,selhání,NOUN,Naprosté selhání dozorových orgánů vedlo opožděné reakci růst cen,0,1,FP
gold_doc_0011,gold_doc_0011_target,dozorových,ADJ,Naprosté selhání dozorových orgánů vedlo opožděné reakci růst cen,0,1,FP
gold_doc_0011,gold_doc_0011_target,orgánů,NOUN,Naprosté selhání dozorových orgánů vedlo opožděné reakci růst cen,0,1,FP
gold_doc_0011,gold_doc_0011_target,vedlo,VERB,Naprosté selhání dozorových orgánů vedlo opožděné reakci růst cen,0,1,FP
gold_doc_0011,gold_doc_0011_target,opožděné,ADJ,Naprosté selhání dozorových orgánů vedlo opožděné reakci růst cen,0,1,FP
gold_doc_0011,gold_doc_0011_target,reakci,NOUN,Naprosté selhání dozorových orgánů vedlo opožděné reakci růst cen,0,1,FP
gold_doc_0011,gold_doc_0011_target,růst,NOUN,Naprosté selhání dozorových orgánů vedlo opožděné reakci růst cen,0,1,FP
gold_doc_0011,gold_doc_0011_target,cen,NOUN,Naprosté selhání dozorových orgánů vedlo opožděné reakci růst cen,0,1,FP
gold_doc_0014,gold_doc_0014_target,Vývoj,NOUN,Vývoj trhu práce alarmující zejména menších regionech,0,1,FP
gold_doc_0014,gold_doc_0014_target,trhu,NOUN,Vývoj trhu práce alarmující zejména menších regionech,0,1,FP
gold_doc_0014,gold_doc_0014_target,práce,NOUN,Vývoj trhu práce alarmující zejména menších regionech,0,1,FP
gold_doc_0014,gold_doc_0014_target,alarmující,ADJ,Vývoj trhu práce alarmující zejména menších regionech,1,1,TP
gold_doc_0014,gold_doc_0014_target,zejména,ADV,Vývoj trhu práce alarmující zejména menších regionech,0,1,FP
gold_doc_0014,gold_doc_0014_target,menších,ADJ,Vývoj trhu práce alarmující zejména menších regionech,0,1,FP
gold_doc_0014,gold_doc_0014_target,regionech,NOUN,Vývoj trhu práce alarmující zejména menších regionech,0,1,FP
gold_doc_0031,gold_doc_0031_target,jihu,NOUN,jihu země vypadá zoufale přetížené síti,0,1,FP
gold_doc_0031,gold_doc_0031_target,země,NOUN,jihu země vypadá zoufale přetížené síti,0,1,FP
gold_doc_0031,gold_doc_0031_target,vypadá,VERB,jihu země vypadá zoufale přetížené síti,0,1,FP
gold_doc_0031,gold_doc_0031_target,zoufale,ADV,jihu země vypadá zoufale přetížené síti,1,1,TP
gold_doc_0031,gold_doc_0031_target,přetížené,ADJ,jihu země vypadá zoufale přetížené síti,0,1,FP
gold_doc_0031,gold_doc_0031_target,síti,NOUN,jihu země vypadá zoufale přetížené síti,0,1,FP
gold_doc_0041,gold_doc_0041_target,zbabělý,ADJ,zbabělý ústupek slibů narušuje důvěru celý vládní kabinet,1,1,TP
gold_doc_0041,gold_doc_0041_target,ústupek,NOUN,zbabělý ústupek slibů narušuje důvěru celý vládní kabinet,0,1,FP
gold_doc_0041,gold_doc_0041_target,slibů,NOUN,zbabělý ústupek slibů narušuje důvěru celý vládní kabinet,0,1,FP
gold_doc_0041,gold_doc_0041_target,narušuje,VERB,zbabělý ústupek slibů narušuje důvěru celý vládní kabinet,0,1,FP
gold_doc_0041,gold_doc_0041_target,důvěru,NOUN,zbabělý ústupek slibů narušuje důvěru celý vládní kabinet,0,1,FP
gold_doc_0041,gold_doc_0041_target,celý,ADJ,zbabělý ústupek slibů narušuje důvěru celý vládní kabinet,0,1,FP
gold_doc_0041,gold_doc_0041_target,vládní,ADJ,zbabělý ústupek slibů narušuje důvěru celý vládní kabinet,0,1,FP
gold_doc_0041,gold_doc_0041_target,kabinet,NOUN,zbabělý ústupek slibů narušuje důvěru celý vládní kabinet,0,1,FP
gold_doc_0042,gold_doc_0042_target,Poškození,NOUN,Poškození klíčových strojů tragické slov ředitele zničující celou firmu,0,1,FP
gold_doc_0042,gold_doc_0042_target,klíčových,ADJ,Poškození klíčových strojů tragické slov ředitele zničující celou firmu,0,1,FP
gold_doc_0042,gold_doc_0042_target,strojů,NOUN,Poškození klíčových strojů tragické slov ředitele zničující celou firmu,0,1,FP
gold_doc_0042,gold_doc_0042_target,tragické,ADJ,Poškození klíčových strojů tragické slov ředitele zničující celou firmu,1,1,TP
gold_doc_0042,gold_doc_0042_target,slov,NOUN,Poškození klíčových strojů tragické slov ředitele zničující celou firmu,0,1,FP
gold_doc_0042,gold_doc_0042_target,ředitele,NOUN,Poškození klíčových strojů tragické slov ředitele zničující celou firmu,0,1,FP
gold_doc_0042,gold_doc_0042_target,zničující,ADJ,Poškození klíčových strojů tragické slov ředitele zničující celou firmu,0,1,FP
gold_doc_0042,gold_doc_0042_target,celou,ADJ,Poškození klíčových strojů tragické slov ředitele zničující celou firmu,0,1,FP
gold_doc_0042,gold_doc_0042_target,firmu,NOUN,Poškození klíčových strojů tragické slov ředitele zničující celou firmu,0,1,FP
gold_doc_0044,gold_doc_0044_target,Aktuální,ADJ,Aktuální tempo vakcinace české populace zjeména důchodců můžeme označit žalostné,0,1,FP
gold_doc_0044,gold_doc_0044_target,tempo,NOUN,Aktuální tempo vakcinace české populace zjeména důchodců můžeme označit žalostné,0,1,FP
gold_doc_0044,gold_doc_0044_target,vakcinace,NOUN,Aktuální tempo vakcinace české populace zjeména důchodců můžeme označit žalostné,0,1,FP
